epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,280.425,1.54397,3.11841,1.69219,0.54284,0.46283,0.45705,0.19765,1.75751,2.37359,2.04083,0.00998818,0.00332939,0.00998818,0.00332939,0.00998818,0.00332939,0.00998818,0.00332939
2,450.328,1.4957,2.33602,1.63328,0.48351,0.52926,0.50191,0.22333,1.55674,1.96589,1.89513,0.0197903,0.00659677,0.0197903,0.00659677,0.0197903,0.00659677,0.0197903,0.00659677
3,601.917,1.55969,2.197,1.70186,0.47369,0.25033,0.24212,0.08508,2.02633,3.09226,2.55624,0.0293944,0.00979814,0.0293944,0.00979814,0.0293944,0.00979814,0.0293944,0.00979814
4,746.788,1.61252,2.11033,1.7449,0.54235,0.53299,0.52145,0.21959,1.65169,1.8371,1.9876,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,944.612,1.55024,1.90983,1.69463,0.58645,0.57581,0.58722,0.25474,1.63048,1.6936,1.8845,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1125.63,1.51491,1.81403,1.66033,0.67319,0.61106,0.64242,0.31959,1.48844,1.46974,1.75177,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1635.17,1.46479,1.72544,1.62529,0.65206,0.60188,0.64177,0.30982,1.59032,1.47264,1.83926,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2019,1.4425,1.65442,1.61193,0.72864,0.61913,0.68949,0.35031,1.47701,1.36055,1.75676,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2661.76,1.42135,1.62075,1.60368,0.68662,0.62708,0.66917,0.33547,1.49804,1.39104,1.792,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2931.4,1.40554,1.5844,1.58929,0.71941,0.67009,0.73288,0.37852,1.43319,1.2785,1.71554,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3101.98,1.38113,1.52932,1.56267,0.74907,0.67956,0.75221,0.4012,1.43983,1.20976,1.6988,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
